symbol,Ametal,Bmetal,Surface,Crystal System,DFT_ads_E,surface_energy,Cost,activity_score,stability_score,cost_score,asci_score,asci_rank,key,AandB,experimentally_observed,distance_from_optimal
CoMo3,Co,Mo,100,Cubic,-0.37133341,2.442219247806758,54.880775,0.32444393333333355,0.19975615791455872,0.7148283003498742,0.4160276522307617,266,mp-1183707_H_1_100,Co-Mo,False,0.10133340999999996
Sn2Ir,Ir,Sn,100,Cubic,-0.27765255,1.090650622180931,45567.318033333315,0.9489830000000001,0.7005052755439309,0.08097510632398343,0.5718626670796516,159,mp-2083_H_1_100,Ir-Sn,True,0.00765254999999998
Cu3Sn,Cu,Sn,100,Cubic,-0.20635316,0.8615917677481899,15.4369325,0.5756877333333332,0.7853703849195492,0.834436380594267,0.732857548425502,61,mp-838_H_0_100,Cu-Sn,True,0.06364684000000001
Sn14Ir6,Ir,Sn,100,Cubic,-0.34021083,0.8829991862246664,41013.650435,0.5319278,0.7774390481678881,0.09090338607182458,0.4629982111598234,228,mp-22040_H_0_100,Ir-Sn,True,0.07021083
Sn14Ir6,Ir,Sn,100,Cubic,-0.19969945,0.9679935106624536,41013.650435,0.5313296666666665,0.7459490948212577,0.09090338607182458,0.4524091425554353,241,mp-22040_H_2_100,Ir-Sn,True,0.07030055000000002
Sn14Ru6,Ru,Sn,100,Cubic,-0.38301888,1.1481284620624874,6097.940435,0.2465408,0.6792100360287309,0.27063173504072957,0.3975125658033293,277,mp-22344_H_0_100,Ru-Sn,True,0.11301887999999999
Sn14Ru6,Ru,Sn,100,Cubic,-0.17173688,1.1995105483081083,6097.940435,0.34491253333333327,0.6601732414023853,0.27063173504072957,0.42369309557663526,258,mp-22344_H_2_100,Ru-Sn,True,0.09826312000000001
NbCo,Co,Nb,100,Cubic,-0.38665545,2.146260779717409,57.05493,0.22229699999999997,0.3094072247866234,0.7111646781439834,0.41725838474854005,265,mp-1009264_H_1_100,Co-Nb,False,0.11665545
TaCo,Co,Ta,100,Cubic,-0.34627902,2.4163162481111606,192.17493,0.49147320000000017,0.2093530840310689,0.5966495294502467,0.4341335137433367,251,mp-1009826_H_1_100,Co-Ta,False,0.07627901999999998
Fe3Pt,Fe,Pt,100,Cubic,-0.27941948,2.6965973883741574,7676.8700375,0.9372034666666668,0.10551038524848774,0.24891851278679034,0.42872786547950975,255,mp-1066232_H_0_100,Fe-Pt,False,0.00941947999999998
TiIr3,Ir,Ti,100,Cubic,-0.39861359,2.756094099187406,102482.21043,0.14257606666666667,0.08346716459604854,0.004546418547097026,0.07614004862270901,360,mp-1089_H_1_100,Ir-Ti,True,0.12861359
MnNi3,Mn,Ni,100,Cubic,-0.38129825,2.1346450520353595,11.82464,0.25801166666666675,0.31371079123314116,0.8595741921959597,0.4809236364535629,214,mp-11501_H_1_100,Mn-Ni,True,0.11129824999999999
NbRu,Nb,Ru,100,Cubic,-0.34538455,2.145835445975428,10167.69,0.49743633333333337,0.3095648087168485,0.22242037491216682,0.3419333043466967,303,mp-11516_H_1_100,Nb-Ru,True,0.07538455
TiPt,Pt,Ti,100,Cubic,-0.20238985,1.809788504331208,15357.00586,0.5492656666666667,0.4340684456908679,0.1835358059379688,0.3869024310968958,287,mp-11552_H_0_100,Pt-Ti,True,0.06761015000000001
MnPt3,Mn,Pt,100,Cubic,-0.32307272,1.9335226064480648,23030.4009125,0.6461818666666669,0.3882256070211045,0.14532201786868063,0.3907639523923159,281,mp-1180_H_1_100,Mn-Pt,True,0.05307271999999996
Mo3Pt,Mo,Pt,100,Cubic,-0.23771054,2.595345066465862,7723.25081,0.7847369333333332,0.14302384175538696,0.24835051145008105,0.39060022967230523,282,mp-1186016_H_0_100,Mo-Pt,False,0.03228946000000002
Ta3Pt,Pt,Ta,100,Cubic,-0.32905461,2.352939883712662,7939.7825,0.6063025999999999,0.23283369607650686,0.24574311266703028,0.3604676360120376,298,mp-1187219_H_0_100,Pt-Ta,False,0.05905461000000001
Cu3Pt,Cu,Pt,100,Cubic,-0.32055171,1.3821057275347777,7684.57142,0.6629886000000002,0.5925226810478978,0.24882396073538138,0.4989188693958361,204,mp-12086_H_0_100,Cu-Pt,True,0.05055170999999997
TiPt3,Pt,Ti,100,Cubic,-0.29163777,1.927651718939245,23032.092930000003,0.8557482,0.39040074018415905,0.14531509012837532,0.4606362809044201,233,mp-12107_H_1_100,Pt-Ti,True,0.02163777
TaRu,Ru,Ta,100,Cubic,-0.35850971,2.377702033853564,10302.81,0.4099352666666669,0.22365944876226385,0.22117548287473543,0.2842859202689572,332,mp-12110_H_0_100,Ru-Ta,True,0.08850970999999996
Ni3Pt,Ni,Pt,100,Cubic,-0.33111648,1.89303346322706,7688.6037275,0.5925568000000001,0.40322662314198354,0.24877449274426647,0.4131918571699052,268,mp-12798_H_0_100,Ni-Pt,True,0.06111647999999997
MoPt3,Mo,Pt,100,Cubic,-0.39789418,1.861274789484084,23045.870270000003,0.14737213333333354,0.41499304591353214,0.14525869958087229,0.23496846700896226,351,mp-13100_H_0_100,Mo-Pt,False,0.12789417999999997
MoPt3,Mo,Pt,100,Cubic,-0.26269755,1.7124544320850417,23045.870270000003,0.9513169999999999,0.4701302111598414,0.14525869958087229,0.5184655375402442,195,mp-13100_H_1_100,Mo-Pt,False,0.007302450000000016
Fe3Pt,Fe,Pt,100,Cubic,-0.27814426,2.695260396495425,7676.8700375,0.9457049333333336,0.10600573375751578,0.24891851278679034,0.43169681448748903,254,mp-1649_H_0_100,Fe-Pt,True,0.008144259999999959
TiNi,Ni,Ti,100,Cubic,-0.33297904,1.96231125226382,11.288345,0.5801397333333334,0.3775595640865041,0.8639510240655848,0.6097841163308453,131,mp-571_H_0_100,Ni-Ti,True,0.06297903999999999
TiRu,Ru,Ti,100,Cubic,-0.39741606,2.73572470658859,10130.90086,0.15055960000000002,0.09101391818081771,0.222762187786972,0.15545840484724033,359,mp-592_H_1_100,Ru-Ti,True,0.12741606
FePt3,Fe,Pt,100,Cubic,-0.36084181,1.9011005620865653,23030.4100125,0.39438793333333355,0.40023780514256035,0.1453219806085813,0.31163596710396263,317,mp-649_H_1_100,Fe-Pt,True,0.09084180999999997
