key,Ametal,Bmetal,AandB,symbol,Crystal System,Surface,experimentally_observed,Full_optimized_DFT_H_ads_energy,surface_energy,Cost
mp-1183707_H_1_100,Co,Mo,Co-Mo,CoMo3,Cubic,100,False,-0.37133341,2.442219247806758,54.880775
mp-2083_H_1_100,Ir,Sn,Ir-Sn,Sn2Ir,Cubic,100,True,-0.27765255,1.090650622180931,45567.31803333332
mp-838_H_0_100,Cu,Sn,Cu-Sn,Cu3Sn,Cubic,100,True,-0.20635316,0.8615917677481899,15.4369325
mp-22040_H_0_100,Ir,Sn,Ir-Sn,Sn14Ir6,Cubic,100,True,-0.34021083,0.8829991862246664,41013.650435
mp-22040_H_2_100,Ir,Sn,Ir-Sn,Sn14Ir6,Cubic,100,True,-0.19969945,0.9679935106624536,41013.650435
mp-22344_H_0_100,Ru,Sn,Ru-Sn,Sn14Ru6,Cubic,100,True,-0.38301888,1.1481284620624874,6097.940435
mp-22344_H_2_100,Ru,Sn,Ru-Sn,Sn14Ru6,Cubic,100,True,-0.17173688,1.1995105483081083,6097.940435
mp-1009264_H_1_100,Co,Nb,Co-Nb,NbCo,Cubic,100,False,-0.38665545,2.146260779717409,57.05493
mp-1009826_H_1_100,Co,Ta,Co-Ta,TaCo,Cubic,100,False,-0.34627902,2.4163162481111606,192.17493
mp-1066232_H_0_100,Fe,Pt,Fe-Pt,Fe3Pt,Cubic,100,False,-0.27941948,2.6965973883741574,7676.8700375
mp-1089_H_1_100,Ir,Ti,Ir-Ti,TiIr3,Cubic,100,True,-0.39861359,2.756094099187406,102482.21043
mp-11501_H_1_100,Mn,Ni,Mn-Ni,MnNi3,Cubic,100,True,-0.38129825,2.1346450520353595,11.82464
mp-11516_H_1_100,Nb,Ru,Nb-Ru,NbRu,Cubic,100,True,-0.34538455,2.145835445975428,10167.69
mp-11552_H_0_100,Pt,Ti,Pt-Ti,TiPt,Cubic,100,True,-0.20238985,1.809788504331208,15357.00586
mp-1180_H_1_100,Mn,Pt,Mn-Pt,MnPt3,Cubic,100,True,-0.32307272,1.9335226064480648,23030.4009125
mp-1186016_H_0_100,Mo,Pt,Mo-Pt,Mo3Pt,Cubic,100,False,-0.23771054,2.595345066465862,7723.25081
mp-1187219_H_0_100,Pt,Ta,Pt-Ta,Ta3Pt,Cubic,100,False,-0.32905461,2.352939883712662,7939.7825
mp-12086_H_0_100,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,100,True,-0.32055171,1.3821057275347777,7684.57142
mp-12107_H_1_100,Pt,Ti,Pt-Ti,TiPt3,Cubic,100,True,-0.29163777,1.927651718939245,23032.092930000003
mp-12110_H_0_100,Ru,Ta,Ru-Ta,TaRu,Cubic,100,True,-0.35850971,2.377702033853564,10302.81
mp-12798_H_0_100,Ni,Pt,Ni-Pt,Ni3Pt,Cubic,100,True,-0.33111648,1.89303346322706,7688.6037275
mp-13100_H_0_100,Mo,Pt,Mo-Pt,MoPt3,Cubic,100,False,-0.39789418,1.861274789484084,23045.870270000003
mp-13100_H_1_100,Mo,Pt,Mo-Pt,MoPt3,Cubic,100,False,-0.26269755,1.7124544320850417,23045.870270000003
mp-1649_H_0_100,Fe,Pt,Fe-Pt,Fe3Pt,Cubic,100,True,-0.27814426,2.695260396495425,7676.8700375
mp-571_H_0_100,Ni,Ti,Ni-Ti,TiNi,Cubic,100,True,-0.33297904,1.96231125226382,11.288345
mp-592_H_1_100,Ru,Ti,Ru-Ti,TiRu,Cubic,100,True,-0.39741606,2.73572470658859,10130.90086
mp-649_H_1_100,Fe,Pt,Fe-Pt,FePt3,Cubic,100,True,-0.36084181,1.9011005620865653,23030.4100125
mp-823_H_1_100,Co,Ti,Co-Ti,TiCo,Cubic,100,True,-0.35709993,2.2365605537920934,20.26579
mp-990532_H_0_100,Co,Ti,Co-Ti,TiCo,Cubic,100,False,-0.35871451,2.2355215337759025,20.26579
mp-10598_H_0_100,Cu,Sn,Cu-Sn,Cu2Sn2,Hexagonal,100,True,-0.29390235,0.8171087527690792,20.505305
mp-1183774_H_3_100,Co,Sn,Co-Sn,Co6Sn2,Hexagonal,100,False,-0.22585457,2.2004814296987063,32.935407500000004
mp-1185931_H_3_100,Mn,Pt,Mn-Pt,Mn6Pt2,Hexagonal,100,False,-0.37636634,2.275637112832274,7676.8427375
mp-1187258_H_1_100,Ru,Ta,Ru-Ta,Ta2Ru6,Hexagonal,100,False,-0.37557073,2.970220528602795,15278.89
mp-19856_H_1_100,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,100,True,-0.14355949,0.7506706664961562,15368.911025
mp-20112_H_3_100,Ni,Sn,Ni-Sn,Ni6Sn2,Hexagonal,100,True,-0.22328486,1.9449572918011293,19.46924
mp-2845_H_0_100,Pt,Sb,Pt-Sb,Sb2Pt2,Hexagonal,100,True,-0.30651917,0.8534559656840525,15368.220765
mp-30846_H_2_100,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,100,True,-0.3247502,0.7163109606910282,12301.25723
mp-810_H_1_100,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,100,True,-0.14393206,0.6964223980014687,22.50325
mp-974747_H_1_100,Cu,Mn,Cu-Mn,Mn2Cu6,Hexagonal,100,False,-0.32560295,1.9199181288229463,7.7923325
mp-1226032_H_1_100,Co,Sn,Co-Sn,Co3Sn2,Hexagonal,100,False,-0.28163444,1.7920129708617742,32.476736
mp-974421_H_1_100,Ir,Ru,Ir-Ru,IrRu,Hexagonal,100,False,-0.33531817,2.5322759077042902,78447.82
mp-1226063_H_0_100,Co,Ni,Co-Ni,CoNi,Orthorhombic,100,False,-0.39211611,2.143528074158025,24.722415
mp-1078699_H_0_100,Nb,Pt,Nb-Pt,Nb2Pt6,Orthorhombic,100,True,-0.31436257,1.6280404833907771,23050.487500000003
mp-1078699_H_1_110,Nb,Pt,Nb-Pt,Nb2Pt6,Orthorhombic,110,True,-0.35116474,1.9986158948892767,23050.487500000003
mp-1078699_H_2_110,Nb,Pt,Nb-Pt,Nb2Pt6,Orthorhombic,110,True,-0.2849613,1.9569727154071808,23050.487500000003
mp-1078699_H_3_110,Nb,Pt,Nb-Pt,Nb2Pt6,Orthorhombic,110,True,-0.35113592,2.042497479717813,23050.487500000003
mp-20900_H_0_100,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,100,True,-0.1048023,0.5415409461083017,15.0918025
mp-20900_H_1_110,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,110,True,-0.1532802,0.648619652965816,15.0918025
mp-30850_H_0_100,Pt,Ta,Pt-Ta,Ta2Pt6,Orthorhombic,100,True,-0.26997311,1.698590190330399,23118.0475
mp-581786_H_3_110,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,110,True,-0.2109471,0.8580973747980352,15.4369325
mp-1077083_H_0_100,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,100,False,-0.20824487,0.9396768463230044,19.54103666666666
mp-20714_H_0_100,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,100,True,-0.20475903,0.906202342421342,19.54103666666666
mp-20928_H_0_100,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,100,True,-0.26393799,1.024322652001725,6771.164353333331
mp-9835_H_0_100,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,100,True,-0.15776412,0.9119198311515486,30.74097333333332
mp-22752_H_1_100,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,100,True,-0.31686914,0.8575194055404274,20.461383333333327
mp-568_H_1_100,Sb,Ti,Sb-Ti,Ti2Sb4,Tetragonal,100,True,-0.3019885,0.9867635199159842,21.78492666666666
mp-1100766_H_0_100,Ni,Pt,Ni-Pt,Ni3Pt,Tetragonal,100,False,-0.36931035,1.8526776829256129,7688.6037275
mp-11798_H_1_100,Fe,Pt,Fe-Pt,Fe3Pt,Tetragonal,100,False,-0.26954173,2.663765673345881,7676.8700375
mp-1601_H_0_100,Ru,Ta,Ru-Ta,TaRu,Tetragonal,100,True,-0.25264121,2.530569546455202,10302.81
mp-2260_H_0_100,Fe,Pt,Fe-Pt,FePt,Tetragonal,100,True,-0.30567033,2.178740164130871,15353.640025
mp-432_H_1_100,Nb,Ru,Nb-Ru,NbRu,Tetragonal,100,True,-0.28273169,2.2543924489357083,10167.69
mp-568067_H_0_100,Ni,Pt,Ni-Pt,Ni2Pt2,Tetragonal,100,False,-0.32059529,1.865157426334595,15361.462485
mp-949_H_0_100,Co,Pt,Co-Pt,Co2Pt2,Tetragonal,100,True,-0.30944676,2.0118052569286284,15370.43993
mp-1030_H_0_110,Pt,Sb,Pt-Sb,SbPt7,Cubic,110,True,-0.39921677,1.3483806403498566,26872.44019125
mp-2083_H_0_110,Ir,Sn,Ir-Sn,Sn2Ir,Cubic,110,True,-0.19676806,0.7842023761615246,45567.31803333332
mp-1521_H_3_110,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,110,True,-0.29837413,0.9828701575026084,39.065395
mp-1521_H_4_110,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,110,True,-0.12648836,0.9731286932231992,39.065395
mp-22040_H_2_110,Ir,Sn,Ir-Sn,Sn14Ir6,Cubic,110,True,-0.2352282,0.7591149670642374,41013.650435
mp-22344_H_1_110,Ru,Sn,Ru-Sn,Sn14Ru6,Cubic,110,True,-0.11077339,1.0453663103869826,6097.940435
mp-22344_H_3_110,Ru,Sn,Ru-Sn,Sn14Ru6,Cubic,110,True,-0.13546557,0.9787313332464082,6097.940435
mp-1007852_H_0_110,Co,Fe,Co-Fe,FeCo3,Cubic,110,False,-0.362877,2.759350600655831,25.2999075
mp-1008349_H_0_110,Co,Ni,Co-Ni,Co3Ni,Cubic,110,False,-0.38720533,2.46885292939354,29.2111375
mp-1008349_H_1_110,Co,Ni,Co-Ni,Co3Ni,Cubic,110,False,-0.39778855,2.4426493421186684,29.2111375
mp-1018021_H_0_110,Co,Nb,Co-Nb,NbCo3,Cubic,110,False,-0.34482751,2.659785529234151,45.377395
mp-10596_H_0_110,Fe,Ir,Fe-Ir,FeIr3,Cubic,110,True,-0.33520887,2.665792898942424,102480.5275125
mp-11358_H_0_110,Co,Ta,Co-Ta,TaCo3,Cubic,110,True,-0.35630667,2.80769510006762,112.937395
mp-1180_H_0_110,Mn,Pt,Mn-Pt,MnPt3,Cubic,110,True,-0.25675615,1.9167794334098205,23030.4009125
mp-1180_H_1_110,Mn,Pt,Mn-Pt,MnPt3,Cubic,110,True,-0.38338236,1.9895243369505071,23030.4009125
mp-1183969_H_1_110,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,110,False,-0.18109585,0.598596729703373,15.0918025
mp-1186016_H_0_110,Mo,Pt,Mo-Pt,Mo3Pt,Cubic,110,False,-0.32223138,2.631289950595649,7723.25081
mp-12086_H_0_110,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,110,True,-0.33837422,1.412648496544035,7684.57142
