key,Bulk_id,symbol,Surface,in_domain,Bulk_concentration,surface_concentration,Crystal System,Point Group,EqV2_predicted_H_ads_E,single_point_DFT_H_ads_E
mp-2002_H_2_111,mp-2002,Cu3Sb,111,True,"{'Cu': 75.0, 'Sb': 25.0}",{'Cu': 100.0},Cubic,Fm3m,-0.208984375,-0.11115473
mp-1225009_H_3_111,mp-1225009,Fe6Ni4,111,True,"{'Fe': 60.0, 'Ni': 40.0}","{'Fe': 58.333333333333336, 'Ni': 41.66666666666667}",Tetragonal,P4mmm,-0.37890625,-0.50030114
mp-2083_H_1_111,mp-2083,Sn2Ir,111,True,"{'Ir': 33.33333333333333, 'Sn': 66.66666666666666}","{'Ir': 33.33333333333333, 'Sn': 66.66666666666666}",Cubic,Fm3m,-0.208984375,-0.22550031
mp-1521_H_4_111,mp-1521,Sb14Mo6,111,True,"{'Mo': 30.0, 'Sb': 70.0}","{'Mo': 28.000000000000004, 'Sb': 72.0}",Cubic,Im3m,-0.10546875,-0.23785692
mp-1521_H_3_111,mp-1521,Sb14Mo6,111,True,"{'Mo': 30.0, 'Sb': 70.0}","{'Mo': 31.57894736842105, 'Sb': 68.42105263157895}",Cubic,Im3m,-0.1572265625,-0.2544185
mp-1225009_H_5_111,mp-1225009,Fe6Ni4,111,True,"{'Fe': 60.0, 'Ni': 40.0}","{'Fe': 58.333333333333336, 'Ni': 41.66666666666667}",Tetragonal,P4mmm,-0.435302734375,-0.42677769
mp-1601_H_1_111,mp-1601,TaRu,111,True,"{'Ru': 50.0, 'Ta': 50.0}","{'Ru': 33.33333333333333, 'Ta': 66.66666666666666}",Tetragonal,P4mmm,-0.390625,-0.36332534
mp-2083_H_0_111,mp-2083,Sn2Ir,111,True,"{'Ir': 33.33333333333333, 'Sn': 66.66666666666666}","{'Ir': 50.0, 'Sn': 50.0}",Cubic,Fm3m,-0.1708984375,-0.20602001
mp-30846_H_1_111,mp-30846,Sn6Pt4,111,True,"{'Pt': 40.0, 'Sn': 60.0}","{'Pt': 28.57142857142857, 'Sn': 71.42857142857143}",Hexagonal,P63mmc,-0.14404296875,-0.12218506
mp-22344_H_4_111,mp-22344,Sn14Ru6,111,True,"{'Ru': 30.0, 'Sn': 70.0}","{'Ru': 21.428571428571427, 'Sn': 78.57142857142857}",Cubic,Im3m,-0.24560546875,-0.31897031
mp-22344_H_3_111,mp-22344,Sn14Ru6,111,True,"{'Ru': 30.0, 'Sn': 70.0}","{'Ru': 30.0, 'Sn': 70.0}",Cubic,Im3m,-0.258544921875,-0.27673768
mp-30846_H_0_111,mp-30846,Sn6Pt4,111,True,"{'Pt': 40.0, 'Sn': 60.0}","{'Pt': 28.57142857142857, 'Sn': 71.42857142857143}",Hexagonal,P63mmc,-0.150390625,-0.1626279
mp-9835_H_0_111,mp-9835,Co2Sb4,111,True,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}","{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.294189453125,-0.28726048
mp-1078699_H_4_111,mp-1078699,Nb2Pt6,111,True,"{'Nb': 25.0, 'Pt': 75.0}","{'Nb': 28.57142857142857, 'Pt': 71.42857142857143}",Orthorhombic,Pmmn,-0.416259765625,-0.39266955
mp-22040_H_2_111,mp-22040,Sn14Ir6,111,True,"{'Ir': 30.0, 'Sn': 70.0}","{'Ir': 30.0, 'Sn': 70.0}",Cubic,Im3m,-0.22119140625,-0.23066295
mp-976847_H_0_111,mp-976847,Ni3Sb,111,True,"{'Ni': 75.0, 'Sb': 25.0}","{'Ni': 75.0, 'Sb': 25.0}",Cubic,Pm3m,-0.54052734375,-0.46233144
mp-510219_H_1_111,mp-510219,Sn4Ru2,111,True,"{'Ru': 33.33333333333333, 'Sn': 66.66666666666666}","{'Ru': 22.22222222222222, 'Sn': 77.77777777777779}",Tetragonal,I4mcm,-0.1513671875,-0.11587297
mp-9835_H_1_111,mp-9835,Co2Sb4,111,True,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}","{'Co': 28.57142857142857, 'Sb': 71.42857142857143}",Orthorhombic,Pnnm,-0.1708984375,-0.11958801
