Unnamed: 0,Slab_Facet_info,bulk_id,in_domain,Ametal,Bmetal,AandB,symbol,Crystal System,Point Group,Bulk_concentration,experimentally_observed,Surface,Surface concentration,Ads. site,nearest_symbols,Eads (eV),Surf. E. (J/m²),Cost ($/kg),distance_from_optimal,activity_score,stability_score,cost_score,asci_score,ASCI Rank
0,Fe2Sb4_221_T_0.016,mp-1072181,False,Fe,Sb,Fe-Sb,Fe2Sb4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,221,"{'Fe': 28.57142857142857, 'Sb': 71.42857142857143}",bridge,"['Fe', 'Fe']",-0.26319651,0.4641970571112371,19.54103666666666,0.00680349,0.9546433999999998,0.9326030499349062,0.812205176446521,0.8989410884703362,1
1,Cu3Sb_111_B_0.042,mp-2002,True,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,Fm3m,"{'Cu': 75.0, 'Sb': 25.0}",True,111,{'Cu': 100.0},3-fold,"['Cu', 'Cu', 'Cu']",-0.25022178,0.3525314378507502,15.0918025,0.01977822,0.8681451999999998,0.9739745787304454,0.836568574024049,0.8923328421492237,2
2,Cu6Sb2_221_T_0.000,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,221,"{'Cu': 69.23076923076923, 'Sb': 30.76923076923077}",bridge,"['Cu', 'Cu']",-0.27518839,0.6545562009656577,15.0918025,0.0051883899999999,0.9654107333333334,0.862075981230832,0.836568574024049,0.8875039309743513,3
3,Fe2Sb4_221_T_0.041,mp-1072181,False,Fe,Sb,Fe-Sb,Fe2Sb4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,221,"{'Fe': 26.666666666666668, 'Sb': 73.33333333333333}",bridge,"['Fe', 'Fe']",-0.26640297,0.635321022506894,19.54103666666666,0.00359703,0.9760198,0.8692025143998078,0.812205176446521,0.8850731237437539,4
4,Cu6Sn2_221_T_0.000,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,221,"{'Cu': 70.58823529411765, 'Sn': 29.411764705882355}",bridge,"['Cu', 'Cu']",-0.27265801,0.9187315884388058,15.4369325,0.0026580099999999,0.9822799333333334,0.7642003797493879,0.834436380594267,0.8600468727193489,5
5,Cu6Sb2_211_B_0.157,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,211,"{'Cu': 75.0, 'Sb': 25.0}",bridge,"['Cu', 'Cu']",-0.2870102,0.7412098736062673,15.0918025,0.0170101999999999,0.8865986666666669,0.8299712480405083,0.836568574024049,0.8509013870215445,6
6,Fe2Sb4_221_B_0.098,mp-20714,False,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,Pnnm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,221,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Fe'],-0.26678021,0.9441538721365528,19.54103666666666,0.00321979,0.9785347333333332,0.7547815563996851,0.812205176446521,0.8481441356037134,7
7,Fe2Sb4_111_T_0.029,mp-1072181,False,Fe,Sb,Fe-Sb,Fe2Sb4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,111,"{'Fe': 22.22222222222222, 'Sb': 77.77777777777779}",top,['Fe'],-0.24070503,0.4956042589605582,19.54103666666666,0.02929497,0.8047001999999998,0.9209668456644994,0.812205176446521,0.8456198850611019,8
8,Fe2Sn4_211_T_0.000,mp-22752,False,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",True,211,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",bridge,"['Fe', 'Fe']",-0.26073252,0.8513771770376123,20.461383333333327,0.0092674799999999,0.9382168,0.7891548374351575,0.8078653134394425,0.8447068469230125,9
9,Fe2Sb4_211_B_0.150,mp-20714,False,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,Pnnm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,211,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Fe'],-0.26633025,0.9777342218369348,19.54103666666666,0.00366975,0.9755349999999998,0.7423402121990782,0.812205176446521,0.8430485800175129,10
